IngTotalPrin,IngLiquiPrin,IngLiquiSecun,ID
900,900,100,32112010145258
1200,1200,700,106115050115736
4850,1844,1755,51115050115737
1400,1400,320,232117010256092
680,680,640,54119071516395
200,200,30,9411100101106501
930,810,930,71110060126539
1400,1400,140,421111050116788
950,950,70,571112011416893
215,215,30,561113010227157
600,600,300,421113010727210
1300,1300,100,51113120227235
1300,1140,400,1381114010117322
300,300,200,661114010637361
120,120,720,81115011037572
720,720,480,81115011047572
230,230,240,211115013237605
2300,2060,1500,471115013217605
8000,6160,3800,831115012117748
8000,6160,2000,831115012127748
150,150,350,421115081268036
600,600,200,331115060118056
1300,631,1000,701118030328532
1500,1500,850,701118030338532
850,850,86,91118030118550
210,210,400,641118030118550
1000,1000,100,241119030238725
4500,4500,693,231120010148760
6000,5220,2500,931120010128760
80,80,310,51120050158820
2200,1914,210,1221120010148913
90,90,260,1261120010138913
400,400,1900,481121110139024
1500,1500,500,251122010119141
6500,2820,6000,861122010119141
300,300,200,1161122010129141
20,20,40,331122010119144
150,150,100,491122020539271
8000,5500,1300,851123010819340
300,300,500,211123011039400
8000,3760,2900,401125010119659
7000,5825,4135,2111140101210189
100,100,300,12211140312110198
150,150,400,12211140312210198
480,480,120,9011150103310227
25,25,25,12211210901110348
2500,1575,240,171121801110414
350,350,200,9112200125273
600,600,50,112112200135273
999999,999999,3861,68114012615502
600,600,814,65114011215539
140,140,100,56114011515677
2400,1080,2340,54115010415707
900,900,450,40115040115729
160,160,200,149115011535792
700,700,294,129116110525982
450,450,200,70117010636052
800,800,850,196117010116156
700,700,50,153117010146172
5700,5199,930,1521110010116510
930,809,2000,1021111010116708
300,261,120,1061111010136716
130,130,346,181111050716803
10,10,40,721111010736865
500,500,1000,451112030216962
300,300,240,451112030226962
2300,2047,500,1031112013426980
5500,4345,1000,1361113011117135
2420,1325,70,571113020117191
140,140,1200,571113020157191
180,180,108,1031113010427201
2000,2000,300,391113100137225
190,190,216,1221114010127312
180,180,90,251114010527347
2380,2107,300,1351114030137371
240,240,200,2211114030617443
515,515,400,1051115011027561
200,200,600,1161115013217604
600,600,400,81115012137752
2200,1914,2500,631215011317782
100,100,150,1211115014227936
250,250,500,621115014337951
700,700,300,961115020117993
80,80,120,641115080618025
6000,5050,2200,101115081018030
60,60,300,421115080658123
2300,1001,1700,471118010128497
3000,2610,280,791118010128497
200,200,160,971118030138552
200,200,50,791119010948707
250,250,157,41120010448802
66,66,96,1691120010438802
240,240,13,141120011438882
180,180,60,401120011448882
100,100,260,761120011418919
2500,2175,1000,51122050139174
800,800,150,1261122091029218
80,80,173,1521222091019218
700,700,217,1731122091019218
1800,1624,250,1731122091039218
1100,957,600,1061123010819338
4500,2255,260,1121123010139362
90,90,100,431124010129495
2000,1391,2000,1841124020349530
90,90,25,401124030139563
3200,2584,400,1131125010519607
160,160,200,1451125010569607
200,200,210,1241125010749681
580,550,800,501123011049866
500,500,500,11911120601310139
4400,1820,1518,11911160108110269
930,930,180,861140703410433
1200,1050,100,711150811110634
1700,1479,100,9311150811110634
40,40,210,13511150811410634
1400,1232,300,2311230101210791
520,520,420,941140520111302
300,300,60,1331140520111302
1500,1305,1200,291140115711356
240,240,40,11611150601311359
500,500,400,31180805111361
100,100,400,10311170203111363
100,100,260,101111031215059
120,120,150,36111011265151
1200,1200,160,1112180115179
